edition_id,event_id,event_name,event_year,event_month,division,dance,leader_tier,follower_tier,leader_status,follower_status,worst_status,leader_scored,follower_scored,est_min_entries,est_max_entries,both_roles_present,range_conflict
26414,1,4TH of July Convention,2026,7,Advanced,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
26414,1,4TH of July Convention,2026,7,All-Star,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
26414,1,4TH of July Convention,2026,7,Champion,West Coast Swing,2,1,matched,matched,matched,5,3,16,29,t,f
26414,1,4TH of July Convention,2026,7,Intermediate,West Coast Swing,3,4,matched,matched,matched,10,12,60,118,t,f
26414,1,4TH of July Convention,2026,7,Master,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
26414,1,4TH of July Convention,2026,7,Novice,West Coast Swing,4,4,matched,matched,matched,12,12,80,158,t,f
28734,278,Americano Dance Camp,2026,7,Advanced,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
28734,278,Americano Dance Camp,2026,7,All-Star,West Coast Swing,1,1,matched,matched,matched,3,3,10,20,t,f
28734,278,Americano Dance Camp,2026,7,Intermediate,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
28734,278,Americano Dance Camp,2026,7,Newcomer,West Coast Swing,2,1,matched,matched,matched,5,3,16,29,t,f
28734,278,Americano Dance Camp,2026,7,Novice,West Coast Swing,3,4,matched,matched,matched,10,12,60,118,t,f
28734,278,Americano Dance Camp,2026,7,Sophisticated,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
27888,156,Big Apple Dance Festival,2026,7,Advanced,West Coast Swing,1,1,matched,matched,matched,3,3,10,20,t,f
27888,156,Big Apple Dance Festival,2026,7,Intermediate,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
27888,156,Big Apple Dance Festival,2026,7,Master,West Coast Swing,1,2,matched,matched,matched,3,5,16,29,t,f
27888,156,Big Apple Dance Festival,2026,7,Novice,West Coast Swing,3,4,matched,matched,matched,10,12,60,118,t,f
27888,156,Big Apple Dance Festival,2026,7,Sophisticated,West Coast Swing,1,1,matched,matched,matched,3,3,10,20,t,f
28989,373,Carolina Summer Swing,2026,7,Advanced,West Coast Swing,3,2,matched,matched,matched,10,5,31,58,t,f
28989,373,Carolina Summer Swing,2026,7,All-Star,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
28989,373,Carolina Summer Swing,2026,7,Champion,West Coast Swing,1,1,matched,matched,matched,3,3,10,20,t,f
28989,373,Carolina Summer Swing,2026,7,Intermediate,West Coast Swing,4,4,matched,matched,matched,12,12,80,158,t,f
28989,373,Carolina Summer Swing,2026,7,Master,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
28989,373,Carolina Summer Swing,2026,7,Newcomer,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
28989,373,Carolina Summer Swing,2026,7,Novice,West Coast Swing,4,5,matched,matched,matched,12,15,120,208,t,f
28989,373,Carolina Summer Swing,2026,7,Sophisticated,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
28981,369,FRENCH CONNECTION WCS,2026,7,Advanced,West Coast Swing,3,2,matched,matched,matched,10,5,31,58,t,f
28981,369,FRENCH CONNECTION WCS,2026,7,All-Star,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
28981,369,FRENCH CONNECTION WCS,2026,7,Champion,West Coast Swing,1,1,matched,matched,matched,3,3,10,20,t,f
28981,369,FRENCH CONNECTION WCS,2026,7,Intermediate,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
28981,369,FRENCH CONNECTION WCS,2026,7,Master,West Coast Swing,1,2,matched,matched,matched,3,5,16,29,t,f
28981,369,FRENCH CONNECTION WCS,2026,7,Newcomer,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
28981,369,FRENCH CONNECTION WCS,2026,7,Novice,West Coast Swing,4,4,matched,matched,matched,12,12,80,158,t,f
28981,369,FRENCH CONNECTION WCS,2026,7,Sophisticated,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
28993,375,Mediterranean Open WCS,2026,7,Advanced,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
28993,375,Mediterranean Open WCS,2026,7,All-Star,West Coast Swing,1,2,matched,matched,matched,3,5,16,29,t,f
28993,375,Mediterranean Open WCS,2026,7,Intermediate,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
28993,375,Mediterranean Open WCS,2026,7,Master,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
28993,375,Mediterranean Open WCS,2026,7,Newcomer,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
28993,375,Mediterranean Open WCS,2026,7,Novice,West Coast Swing,4,5,matched,matched,matched,12,15,120,208,t,f
28993,375,Mediterranean Open WCS,2026,7,Sophisticated,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
28420,224,Midwest Westie Fest,2026,7,Advanced,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
28420,224,Midwest Westie Fest,2026,7,All-Star,West Coast Swing,2,1,matched,matched,matched,5,3,16,29,t,f
28420,224,Midwest Westie Fest,2026,7,Intermediate,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
28420,224,Midwest Westie Fest,2026,7,Master,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
28420,224,Midwest Westie Fest,2026,7,Newcomer,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
28420,224,Midwest Westie Fest,2026,7,Novice,West Coast Swing,4,5,matched,matched,matched,12,15,120,208,t,f
28420,224,Midwest Westie Fest,2026,7,Sophisticated,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
28971,362,MY Swing,2026,7,Advanced,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
