dancer_id,role,dance,level,total_points,update_date
4,Leader,West Coast Swing,Advanced,11,2026-08-24
4,Leader,West Coast Swing,Juniors,0,2026-08-24
5,Follower,West Coast Swing,Advanced,39,2026-08-24
5,Follower,West Coast Swing,Professional,12,2026-08-24
7,Leader,West Coast Swing,Champion,14,2026-08-24
7,Leader,West Coast Swing,Invitational,20,2026-08-24
7,Leader,West Coast Swing,All-Star,7,2026-08-24
7,Leader,West Coast Swing,Professional,11,2026-08-24
6,Follower,West Coast Swing,Champion,10,2026-08-24
6,Follower,West Coast Swing,Invitational,4,2026-08-24
6,Follower,West Coast Swing,Advanced,2,2026-08-24
6,Follower,West Coast Swing,Master,11,2026-08-24
6,Follower,West Coast Swing,Professional,45,2026-08-24
1,Follower,West Coast Swing,Intermediate,0,2026-08-24
1,Follower,West Coast Swing,Novice,3,2026-08-24
1,Follower,West Coast Swing,Newcomer,4,2026-08-24
2,Follower,West Coast Swing,Master,14,2026-08-24
15,Leader,West Coast Swing,Advanced,2,2026-08-24
16,Leader,West Coast Swing,Novice,4,2026-08-24
12,Leader,West Coast Swing,Intermediate,3,2026-08-24
12,Leader,West Coast Swing,Novice,4,2026-08-24
13,Leader,West Coast Swing,Advanced,7,2026-08-24
14,Leader,West Coast Swing,Master,6,2026-08-24
17,Leader,West Coast Swing,Novice,10,2026-08-24
17,Leader,West Coast Swing,Master,3,2026-08-24
18,Follower,West Coast Swing,Novice,20,2026-08-24
21,Leader,West Coast Swing,Advanced,3,2026-08-24
21,Leader,West Coast Swing,Novice,1,2026-08-24
19,Follower,West Coast Swing,Advanced,14,2026-08-24
19,Follower,West Coast Swing,Novice,10,2026-08-24
22,Leader,West Coast Swing,Intermediate,3,2026-08-24
22,Leader,West Coast Swing,Novice,16,2026-08-24
20,Leader,West Coast Swing,Master,22,2026-08-24
24,Follower,West Coast Swing,Advanced,47,2026-08-24
24,Follower,West Coast Swing,Novice,28,2026-08-24
24,Follower,West Coast Swing,Professional,3,2026-08-24
25,Leader,West Coast Swing,Novice,6,2026-08-24
25,Leader,West Coast Swing,Master,10,2026-08-24
26,Leader,West Coast Swing,Novice,10,2026-08-24
27,Follower,West Coast Swing,Advanced,6,2026-08-24
30,Leader,West Coast Swing,Master,14,2026-08-24
28,Follower,West Coast Swing,Intermediate,6,2026-08-24
28,Follower,West Coast Swing,Novice,1,2026-08-24
31,Follower,West Coast Swing,Advanced,4,2026-08-24
32,Follower,West Coast Swing,Intermediate,16,2026-08-24
29,Leader,West Coast Swing,Advanced,4,2026-08-24
29,Leader,West Coast Swing,Intermediate,6,2026-08-24
33,Leader,West Coast Swing,Novice,21,2026-08-24
